"region","serviceName","lastModifiedDate"
"ap-southeast-2","swf","2019-04-18T03:44:35.815Z"
"ap-southeast-2","amplifybackend","2021-02-09T04:07:08.885Z"
"ap-southeast-2","apigatewayv2","2019-06-06T15:14:10.211Z"
"ap-southeast-2","appsync","2019-04-18T03:36:11.471Z"
"ap-southeast-2","codestar-connections","2020-04-03T18:42:00.914Z"
"ap-southeast-2","dax","2019-04-18T03:36:40.988Z"
"ap-southeast-2","es","2019-04-18T03:45:47.713Z"
"ap-southeast-2","opsworkscm","2019-04-18T03:45:10.177Z"
"ap-southeast-2","resourcegroupstaggingapi","2019-04-18T03:45:19.257Z"
"ap-southeast-2","waf-regional","2019-04-18T03:44:40.190Z"
"ap-southeast-2","workspaces","2019-04-18T03:44:40.650Z"
"ap-southeast-2","cloudwatch","2019-04-18T03:36:25.290Z"
"ap-southeast-2","codedeploy","2019-04-18T03:36:29.446Z"
"ap-southeast-2","comprehend","2019-04-18T03:36:36.596Z"
"ap-southeast-2","config","2019-04-18T03:36:36.831Z"
"ap-southeast-2","databrew","2020-12-04T17:05:08.491Z"
"ap-southeast-2","fms","2019-04-18T03:45:51.313Z"
"ap-southeast-2","fsx-ontap","2021-09-10T17:21:32.137Z"
"ap-southeast-2","rds","2019-04-18T03:45:15.124Z"
"ap-southeast-2","signer","2019-04-18T03:45:33.010Z"
"ap-southeast-2","wam","2020-09-02T23:57:22.719Z"
"ap-southeast-2","cloudsearch","2019-04-18T03:36:24.811Z"
"ap-southeast-2","docdb","2019-06-04T17:40:37.998Z"
"ap-southeast-2","fsx-lustre","2020-08-27T00:13:59.050Z"
"ap-southeast-2","lexv2-models","2021-01-28T21:22:02.704Z"
"ap-southeast-2","mcs","2020-08-27T00:14:57.041Z"
"ap-southeast-2","mediapackage","2019-04-18T03:45:05.192Z"
"ap-southeast-2","mediatailor","2019-04-21T18:59:23.537Z"
"ap-southeast-2","route53","2019-04-18T03:45:20.696Z"
"ap-southeast-2","securityhub","2019-04-18T03:45:27.556Z"
"ap-southeast-2","ssm-contacts","2021-05-19T10:27:30.438Z"
"ap-southeast-2","lumberyard","2020-08-27T00:14:07.223Z"
"ap-southeast-2","mediapackage-vod","2019-11-26T15:17:54.417Z"
"ap-southeast-2","memorydb","2021-11-09T18:00:50.080Z"
"ap-southeast-2","mgh","2020-03-24T20:50:01.019Z"
"ap-southeast-2","outposts","2020-01-09T20:14:00.229Z"
"ap-southeast-2","personalize","2019-12-19T10:52:27.736Z"
"ap-southeast-2","qldb","2019-11-18T20:31:54.195Z"
"ap-southeast-2","qldb-session","2019-11-22T18:51:42.216Z"
"ap-southeast-2","ses","2019-10-31T14:08:32.468Z"
"ap-southeast-2","trustedadvisor","2020-09-04T13:58:24.129Z"
"ap-southeast-2","accessanalyzer","2019-12-10T21:56:05.091Z"
"ap-southeast-2","apigatewaymanagementapi","2019-06-06T15:12:41.784Z"
"ap-southeast-2","dlm","2019-04-18T03:36:41.415Z"
"ap-southeast-2","elb","2019-04-18T03:45:46.019Z"
"ap-southeast-2","groundstation","2020-04-02T20:33:31.068Z"
"ap-southeast-2","inspector","2019-04-18T03:45:57.789Z"
"ap-southeast-2","meteringmarketplace","2019-04-18T03:45:07.324Z"
"ap-southeast-2","nimble","2021-06-03T17:36:53.628Z"
"ap-southeast-2","snowcone","2021-03-25T00:32:43.782Z"
"ap-southeast-2","vpc","2020-09-10T21:53:11.760Z"
"ap-southeast-2","backup","2019-04-18T03:36:16.485Z"
"ap-southeast-2","compute-optimizer","2020-06-07T21:04:11.307Z"
"ap-southeast-2","connect","2019-04-21T18:59:19.972Z"
"ap-southeast-2","forecast","2020-03-17T23:25:57.078Z"
"ap-southeast-2","iam","2019-04-18T03:45:57.545Z"
"ap-southeast-2","iotdevicemanagement","2020-08-27T00:14:47.334Z"
"ap-southeast-2","rds-data","2020-06-09T13:49:51.192Z"
"ap-southeast-2","s3control","2019-04-18T03:45:22.432Z"
"ap-southeast-2","snowball","2019-04-18T03:45:33.515Z"
"ap-southeast-2","sso-oidc","2019-11-22T20:26:45.100Z"
"ap-southeast-2","cloudenduredisasterrecovery","2020-09-02T14:01:33.507Z"
"ap-southeast-2","datasync","2019-04-18T03:36:37.409Z"
"ap-southeast-2","ec2","2019-04-18T03:45:39.141Z"
"ap-southeast-2","lex-runtime","2019-12-11T00:01:02.839Z"
"ap-southeast-2","lookoutmetrics","2021-04-03T03:59:46.260Z"
"ap-southeast-2","mediaconvert","2019-04-18T03:46:09.827Z"
"ap-southeast-2","polly","2019-04-18T03:45:13.013Z"
"ap-southeast-2","route53resolver","2019-04-18T03:45:20.959Z"
"ap-southeast-2","savingsplans","2019-11-22T20:26:44.555Z"
"ap-southeast-2","wellarchitectedtool","2020-08-27T00:14:06.130Z"
"ap-southeast-2","ecs","2019-04-18T03:45:42.791Z"
